"Common Name","Botanical Name","State","County","Site","Site Latitude","Site Longitude","Location comments","Tree name","Tree id","Measurement number","Latitude","Longitude","Elevation","Ownership type","Height (ft)","Height measurement method","Girth (ft)","Girth (in)","Crown spread (ft)","Tree comments","Measurer(s)","Measured","Trip report url","Photos available"
"Sourwood","Oxydendrum arboreum","Alabama","Lawrence","Sispey River Picnic Area","","","","","233695","1","","","","Public - federal","","Clinometer/laser rangefinder/sine","4.1'","49''","","","Zack Stewart","2007-06-06","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Falabama%2Fsipsey_river_picnic_area.htm","N"
"Sourwood","Oxydendrum arboreum","Georgia","Rabun","Cliff Creek","","","","","234951","1","","","","Public - federal","95.3'","Clinometer/laser rangefinder/sine","3.3'","40''","","Height is Not Less Then(NLT)","Jess Riddle","2004-12-02","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D73%26t%3D1878%26sid%3Da73770c2b894b38da07dbd9d5b148ced","N"
"Sourwood","Oxydendrum arboreum","Georgia","Rabun","Cliff Creek","","","","","235174","1","","","","Public - federal","95.3'","Clinometer/laser rangefinder/sine","","","","","Jess Riddle, Will Blozan","2005-09-06","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D73%26t%3D1878%26sid%3Da73770c2b894b38da07dbd9d5b148ced","N"
"Sourwood","Oxydendrum arboreum","Georgia","Rabun","Cliff Creek","","","","","235219","1","","","","Public - federal","96.7'","Clinometer/laser rangefinder/sine","3.5'","42''","","","Jess Riddle, Will Blozan","2005-09-06","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D73%26t%3D1878%26sid%3Da73770c2b894b38da07dbd9d5b148ced","N"
"Sourwood","Oxydendrum arboreum","Georgia","Rabun","Cliff Creek","","","","","235211","1","","","","Public - federal","103.9'","Clinometer/laser rangefinder/sine","","","","","Jess Riddle, Will Blozan","2005-09-06","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D73%26t%3D1878%26sid%3Da73770c2b894b38da07dbd9d5b148ced","N"
"Sourwood","Oxydendrum arboreum","Georgia","Rabun","Cliff Creek","","","","","235220","1","","","","Public - federal","103.9'","Clinometer/laser rangefinder/sine","3.3'","40''","","","Jess Riddle, Will Blozan","2005-09-06","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D73%26t%3D1878%26sid%3Da73770c2b894b38da07dbd9d5b148ced","N"
"Sourwood","Oxydendrum arboreum","Georgia","Towns","Brasstown Bald","","","Highest elevation in Georgia","","235277","1","","","","Public - federal","86.7'","Clinometer/laser rangefinder/sine","3.8'","46''","","","Jess Riddle","2004-11-29","http%3A%2F%2Fwww.nativetreesociety.org%2Ffieldtrips%2Fgeorgia%2Fbrasstown_bald.htm","N"
"Sourwood","Oxydendrum arboreum","Kentucky","Edmonson","Mammoth Cave National Park","37 12.973","-086 15.819","","","297327","1","37 12.973","-086 15.819","415.0 ft","Public","68.6'","Clinometer/laser rangefinder/sine","2.8'","34''","","","Elijah Whitcomb","2023-06-23","","N"
"Sourwood","Oxydendrum arboreum","Kentucky","Edmonson","Mammoth Cave National Park","37 08.971","-086 05.086","","","297466","1","37 08.971","-086 05.086","765.0 ft","Public","70.0'","Clinometer/laser rangefinder/sine","3.7'","44''","","","Elijah Whitcomb","2023-06-23","","N"
"Sourwood","Oxydendrum arboreum","Kentucky","Edmonson","Mammoth Cave National Park","37 12.969","-086 13.509","","","297399","1","37 12.969","-086 13.509","520.0 ft","Public","78.0'","Clinometer/laser rangefinder/sine","3.8'","46''","","","Elijah Whitcomb","2023-06-23","","N"
"Sourwood","Oxydendrum arboreum","Kentucky","Edmonson","Mammoth Cave National Park","37 08.971","-086 05.090","","","297467","1","37 08.971","-086 05.090","755.0 ft","Public","80.8'","Clinometer/laser rangefinder/sine","3.8'","46''","","","Elijah Whitcomb","2023-06-23","","N"
"Sourwood","Oxydendrum arboreum","Kentucky","Edmonson","Mammoth Cave National Park","37 13.885","-086 12.106","","","297370","1","37 13.885","-086 12.106","520.0 ft","Public","83.7'","Clinometer/laser rangefinder/sine","","","","Double trunk","Elijah Whitcomb","2023-06-23","","N"
"Sourwood","Oxydendrum arboreum","Kentucky","Edmonson","Mammoth Cave National Park","37 08.977","-086 05.066","","","297468","1","37 08.977","-086 05.066","765.0 ft","Public","84.7'","Clinometer/laser rangefinder/sine","3.1'","37''","","","Elijah Whitcomb","2023-06-23","","N"
"Sourwood","Oxydendrum arboreum","Kentucky","Edmonson","Mammoth Cave National Park","37 13.183","-086 07.755","","","297502","1","37 13.183","-086 07.755","710.0 ft","Public","88.9'","Clinometer/laser rangefinder/sine","4.9'","59''","","","Elijah Whitcomb","2023-06-23","","N"
"Sourwood","Oxydendrum arboreum","Kentucky","Edmonson","Mammoth Cave National Park","37 13.198","-086 03.163","","","297519","1","37 13.198","-086 03.163","630.0 ft","Public","91.6'","Clinometer/laser rangefinder/sine","4.0'","48''","","","Elijah Whitcomb","2023-06-23","","N"
"Sourwood","Oxydendrum arboreum","North Carolina","Buncombe","Blue Ridge Parkway Headquarters To Swannanoa River","","","","","39471","1","","","","Blue Ridge Parkway","88.3'","","","","","","Brian Beduhn","2013-04-13","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D106%26t%3D5040","N"
"Sourwood","Oxydendrum arboreum","North Carolina","Buncombe","Craven Gap South","","","","","40200","1","","","","Blue Ridge Parkway","81.0'","Clinometer/laser rangefinder/sine","","","","","Brian Beduhn","2012-03-03","http%3A%2F%2Fwww.ents-bbs.org%2Fviewtopic.php%3Ff%3D106%26t%3D2636","N"
